warning : 13-01-30 19:26:31 |3620| Load Cfg Over
warning : 13-01-30 19:26:31 |3620| [InitializeService] Result:0 
warning : 13-01-30 19:26:31 |3620| [StartService] RegisterToServer Result:0
warning : 13-02-06 17:06:00 |6216| Load Cfg Over
warning : 13-02-06 17:06:00 |6216| [InitializeService] Result:0 
warning : 13-02-06 17:06:00 |6216| [StartService] RegisterToServer Result:0
warning : 13-02-06 18:44:34 |2060| [_DoCloseAllSession] Begin TaskCount:0
warning : 13-02-06 18:44:34 |2060| [_DoCloseAllSession] Close Over
warning : 13-02-06 18:44:34 |2060| [StopService] Begin UnregisterServer
warning : 13-02-06 18:44:34 |2060| [StopService] UnregisterServer Result:0
warning : 13-02-06 18:46:37 |6540| Load Cfg Over
warning : 13-02-06 18:46:37 |6540| [InitializeService] Result:0 
warning : 13-02-06 18:46:37 |6540| [StartService] RegisterToServer Result:0
warning : 13-02-06 19:33:58 |6852| [_DoCloseAllSession] Begin TaskCount:0
warning : 13-02-06 19:33:58 |6852| [_DoCloseAllSession] Close Over
warning : 13-02-06 19:33:58 |6852| [StopService] Begin UnregisterServer
warning : 13-02-06 19:33:58 |6852| [StopService] UnregisterServer Result:0
warning : 13-02-06 19:33:58 |6852| [UninitializeService] Begin UninitializeService
warning : 13-02-06 19:34:00 |6852| [UninitializeService] UninitializeService Success

warning : 13-02-06 19:34:49 |5440| Load Cfg Over
warning : 13-02-06 19:34:49 |5440| [InitializeService] Result:0 
warning : 13-02-06 19:34:49 |5440| [StartService] RegisterToServer Result:0
warning : 13-02-06 19:35:07 |6560| [_DoCloseAllSession] Begin TaskCount:0
warning : 13-02-06 19:35:07 |6560| [_DoCloseAllSession] Close Over
warning : 13-02-06 19:35:07 |6560| [StopService] Begin UnregisterServer
warning : 13-02-06 19:35:07 |6560| [StopService] UnregisterServer Result:0
warning : 13-02-06 19:35:11 |6560| [UninitializeService] Begin UninitializeService
warning : 13-02-06 19:35:11 |6560| [UninitializeService] UninitializeService Success

warning : 13-02-06 19:35:30 |2608| Load Cfg Over
warning : 13-02-06 19:35:31 |2608| [InitializeService] Result:0 
warning : 13-02-06 19:35:31 |2608| [StartService] RegisterToServer Result:0
warning : 13-02-06 19:35:59 |1120| [_DoCloseAllSession] Begin TaskCount:0
warning : 13-02-06 19:35:59 |1120| [_DoCloseAllSession] Close Over
warning : 13-02-06 19:35:59 |1120| [StopService] Begin UnregisterServer
